,art,sub or obj
1615,but it's a nice girl-buddy movie once it gets rock-n-rolling .,1
1616,a superbly acted and funny/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .,1
1617,desta vez,1
1618,columbus capturou o pomo de ouro .,1
1619,if you're an extreme sports fan,1
1620,this is probably a must own dvd .,1
1621,an odd,1
1622,haphazard,1
1623,and inconsequential romantic comedy .,1
1624,not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers .,1
1625," "" an entire film about researchers quietly reading dusty old letters . """,1
1626,i certainly found its depiction of a family affected by grief far more believable and effective than the strident dish-breaking,1
1627,breast-beating of in the bedroom .,1
1628,i'm not exactly sure what this movie thinks it is about .,1
1629,more intimate than spectacular,1
1630,e . t . is carried less by wow factors than by its funny,1
1631,moving yarn that holds up well after two decades .,1
1632,this is standard crime drama fare . . . instantly forgettable and thoroughly dull .,1
1633,too restrained to be a freak show,1
1634,too mercenary and obvious to be cerebral,1
1635,too dull and pretentious to be engaging . . . the isle defies an easy categorization .,1
1636,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times .,1
1637,amold&oacute ,1
1638,var is a master of emotional texture,1
1639,peeling away layer upon layer of the feelings . . . until he reaches benigno's troubled psyche and marco's benevolent soul .,1
1640,so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along .,1
1641,the script,1
1642,the gags,1
1643,the characters are all direct-to-video stuff,1
1644,and that's where this film should have remained .,1
1645,reign of fire just might go down as one of the all-time great apocalypse movies .,1
1646,this is one of the most visually stunning and thematically moving epics in recent memory,1
1647,and in spite of numerous minor flaws,1
1648,scorsese's best in more than a decade .,1
1649,an intelligently made ( and beautifully edited ) picture that at the very least has a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch .,1
1650,if the last man were the last movie left on earth,1
1651,there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows .,1
1652,the sad thing about knockaround guys is its lame aspiration for grasping the coolness vibes when in fact the film isn't as flippant or slick as it thinks it is .,1
1653,a compelling,1
1654,gut-clutching piece of advocacy cinema that carries you along in a torrent of emotion as it explores the awful complications of one terrifying day .,1
1655,the latest vapid actor's exercise to appropriate the structure of arthur schnitzler's reigen .,1
1656,there's enough science to make it count as educational,1
1657,and enough beauty to make it unforgettable .,1
1658,smart and fun,1
1659,but far more witty than it is wise .,1
1660,going to the website may be just as fun ( and scary ) as going to the film .,1
1661,many of benjamins' elements feel like they've been patched in from an episode of miami vice .,1
1662,dawdles and drags when it should pop ,1
1663,it doesn't even have the virtue of enough mindless violence to break up the tedium of all its generational bonding .,1
1664,it uses the pain and violence of war as background material for color .,1
1665,"it may not be "" last tango in paris "" but . . .",1
1666,there's much tongue in cheek in the film and there's no doubt the filmmaker is having fun with it all .,1
1667,care deftly captures the wonder and menace of growing up,1
1668,but he never really embraces the joy of fuhrman's destructive escapism or the grace-in-rebellion found by his characters .,1
1669,the limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,1
1670,a moving and stark reminder that the casualties of war reach much further than we imagine .,1
1671,a psychological thriller that doesn't really hold up if you think about it too much,1
1672,but is nonetheless highly entertaining in a low-budget,1
1673,david lynch-ian way .,1
1674,part of the long,1
1675,noble tradition ( at least since the '90s ) of talky,1
1676,ensemble-driven american indies .,1
1677,this odd,1
1678,poetic road movie,1
1679,spiked by jolts of pop music,1
1680,pretty much takes place in morton's ever-watchful gaze -- and it's a tribute to the actress,1
1681,and to her inventive director,1
1682,that the journey is such a mesmerizing one .,1
1683,as directed by dani kouyate of burkina faso,1
1684,sia lacks visual flair . but kouyate elicits strong performances from his cast,1
1685,and he delivers a powerful commentary on how governments lie,1
1686,no matter who runs them .,1
1687,although melodramatic and predictable,1
1688,this romantic comedy explores the friendship between five filipino-americans and their frantic efforts to find love .,1
1689,for those with the stomach and stamina for its heartbeat-quickening intensity and body-slamming action,1
1690,rollerball delivers exactly what it promises : a people's hero you can really get behind .,1
1691,if ayurveda can help us return to a sane regimen of eating,1
1692,sleeping and stress-reducing contemplation,1
1693,it is clearly a good thing .,1
1694,just about the best straight-up,1
1695,old-school horror film of the last 15 years .,1
1696,in this vivid,1
1697,emotionally complex ensemble piece,1
1698,korean writer-director jeong jae-eun portrays this extraordinary turning point in every woman's life .,1
1699,dripping with cliche and bypassing no opportunity to trivialize the material .,1
1700, . . . a ho-hum affair,1
1701,always watchable yet hardly memorable .,1
1702,if you're like me,1
1703,a sucker for a good old fashion romance and someone who shamelessly loves to eat,1
1704,then mostly martha offers all the perfect ingredients to more than satisfy your appetite .,1
1705,slowly but surely devolves into a fascinating,1
1706,cringe-inducing portrait of cultural solipsism,1
1707,climaxing in an emotional meltdown that wouldn't look out of place in mid-period cassavetes .,1
1708,a feel-good picture in the best sense of the term .,1
1709,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,1
1710,scorsese doesn't give us a character worth giving a damn about .,1
1711,it's hard not to like a film that has sky divers jumping out of helicopters to catch flying dragons in a big net .,1
1712,none of this is half as moving as the filmmakers seem to think .,1
1713,what was once original has been co-opted so frequently that it now seems pedestrian .,1
1714,this idea has lost its originality . . . and neither star appears very excited at rehashing what was basically a one-joke picture .,1
1715,to show these characters in the act and give them no feelings of remorse -- and to cut repeatedly to the flashback of the original rape -- is overkill to the highest degree .,1
1716,this is a terrific character study,1
1717,a probe into the life of a complex man .,1
1718,plodding,1
1719,poorly written,1
1720,murky and weakly acted,1
1721,the picture feels as if everyone making it lost their movie mojo .,1
1722,it's mildly sentimental,1
1723,unabashedly consumerist . . . studiously inoffensive and completely disposable .,1
1724,a touching,1
1725,small-scale story of family responsibility and care in the community .,1
1726,its juxtaposition of overwrought existentialism and stomach-churning gore will have you forever on the verge of either cracking up or throwing up .,1
1727,just as moving,1
1728,uplifting and funny as ever .,1
1729,a little weak -- and it isn't that funny .,1
1730,as [the characters] get more depressed,1
1731,the story gets more tiresome,1
1732,especially as it continues to mount a conspicuous effort to be profound .,1
1733,if the count of monte cristo doesn't transform caviezel into a movie star,1
1734,then the game is even more rigged than it was two centuries ago .,1
1735,so putrid it is not worth the price of the match that should be used to burn every print of the film .,1
1736,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us .,1
1737,a romantic comedy that operates by the rules of its own self-contained universe .,1
1738,quiet,1
1739,sexual,1
1740,disturbing,1
1741,often beautifully melancholic .,1
1742,the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script error . ',1
1743,the movie's accumulated force still feels like an ugly knot tightening in your stomach . but is that knot from dramatic tension or a symptom of artistic malnutrition ?,1
1744,no way i can believe this load of junk .,1
1745,its weighty themes are too grave for youngsters,1
1746,but the story is too steeped in fairy tales and other childish things to appeal much to teenagers .,1
1747,what the director can&#8217 ,1
1748,t do is make either of val kilmer&#8217 ,1
1749,s two personas interesting or worth caring about .,1
1750,[grant's] bumbling magic takes over the film,1
1751,and it turns out to be another winning star vehicle .,1
1752,renner's performance as dahmer is unforgettable,1
1753,deeply absorbing .,1
1754,all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility .,1
1755,what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising,1
1756,subtle turn at the midway point .,1
1757,the film is a contrivance,1
1758,as artificial as the video games japanese teens play in a nightclub sequence,1
1759,but it's an enjoyable one .,1
1760,the movie weighs no more than a glass of flat champagne .,1
1761,prancing his way through the tailor-made part of a male hooker approaching the end of his vitality,1
1762,jagger obviously relishes every self-mocking moment .,1
1763,carrying this wafer-thin movie on his nimble shoulders,1
1764,chan wades through putrid writing,1
1765,direction and timing with a smile that says,1
1766,'if i stay positive,1
1767,maybe i can channel one of my greatest pictures,1
1768,drunken master . ',1
1769,this real-life hollywood fairy-tale is more engaging than the usual fantasies hollywood produces .,1
1770, . . . there's a choppy,1
1771,surface-effect feeling to the whole enterprise .,1
1772,riveting when it focuses on the challenges of crossing a generational divide .,1
1773,a fanciful drama about napoleon's last years and his surprising discovery of love and humility .,1
1774,for the future,1
1775,one hopes mr . plympton will find room for one more member of his little band,1
1776,a professional screenwriter .,1
1777,the problems of the people in love in the time of money are hardly specific to their era . they just have problems,1
1778,which are neither original nor are presented in convincing way .,1
1779,with all the sympathy,1
1780,empathy and pity fogging up the screen . . . his secret life enters the land of unintentional melodrama and tiresome love triangles .,1
1781,a film of empty,1
1782,fetishistic violence in which murder is casual and fun .,1
1783,viewers will need all the luck they can muster just figuring out who's who in this pretentious mess .,1
1784,jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness .,1
1785,has a shambling charm . . . a cheerfully inconsequential diversion .,1
1786,a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,1
1787,it's their familial ups and downs that shift this small,1
1788,stubbornly poignant documentary . . . from the realm of special-interest audiences to the more universal theater of family psychodynamics .,1
1789,watching trouble every day,1
1790,at least if you don't know what's coming,1
1791,is like biting into what looks like a juicy,1
1792,delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms .,1
1793,it's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . you don't want to call the cops . you want to call domino's .,1
1794,it's an often-cute film but either needs more substance to fill the time or some judicious editing .,1
1795,holofcener rejects patent solutions to dramatize life's messiness from inside out,1
1796,in all its strange quirks .,1
1797,genuine movie magic . . . it transports you to a place somewhere between eavesdropping voyeur and silent referee .,1
1798,a 94-minute travesty of unparalleled proportions,1
1799,writer-director parker seems to go out of his way to turn the legendary wit's classic mistaken identity farce into brutally labored and unfunny hokum .,1
1800,it picked me up,1
1801,swung me around,1
1802,and dropped me back in my seat with more emotional force than any other recent film .,1
1803,despite the film's bizarre developments,1
1804,hoffman keeps us riveted with every painful nuance,1
1805,unexpected flashes of dark comedy and the character's gripping humanity .,1
1806,it has something of the aura of four weddings and a funeral about it,1
1807,mixed in with a bit of bridget jones's diary,1
1808,but the movie's just too different,1
1809,too risky for huge popularity .,1
1810, . . . the plot weaves us into a complex web .,1
1811,a reasonably efficient mechanism,1
1812,but it offers few surprises and finds its stars slumming in territory they should have avoided .,1
1813,"i enjoyed "" formula 51 "" in a guilty kind of way",1
1814,even when crush departs from the 4w formula . . . it feels like a glossy rehash .,1
1815,the chÃ¢teau would have been benefited from a sharper,1
1816,cleaner script before it went in front of the camera . not to mention a sharper,1
1817,cleaner camera lens .,1
1818,novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty,1
1819,no-budget approach .,1
1820,the problem with this film is that it lacks focus . i sympathize with the plight of these families,1
1821,but the movie doesn't do a very good job conveying the issue at hand .,1
1822,could use a little more humanity,1
1823,but it never lacks in eye-popping visuals .,1
1824,a reminder that beyond all the hype and recent digital glitz,1
1825,spielberg knows how to tell us about people .,1
1826,the film is hampered by its predictable plot and paper-thin supporting characters .,1
1827,if your senses haven't been dulled by slasher films and gorefests,1
1828,if you're a connoisseur of psychological horror,1
1829,this is your ticket .,1
1830,the off-center humor is a constant,1
1831,and the ensemble gives it a buoyant delivery .,1
1832,as his circle of friends keeps getting smaller one of the characters in long time dead says 'i'm telling you,1
1833,this is f ,1
1834, ,1
1835, ,1
1836, ed' . maybe he was reading the minds of the audience .,1
1837,it's hard not to feel you've just watched a feature-length video game with some really heavy back story .,1
1838,'you'll laugh for not quite and hour and a half,1
1839,but come out feeling strangely unsatisfied . you'll feel like you ate a reeses without the peanut butter . . . ',1
1840,best enjoyed as a work of fiction inspired by real-life events . those seeking a definitive account of eisenstein's life would do better elsewhere .,1
1841,with we were soldiers,1
1842,hollywood makes a valiant attempt to tell a story about the vietnam war before the pathology set in .,1
1843,like a fish that's lived too long,1
1844,austin powers in goldmember has some unnecessary parts and is kinda wrong in places .,1
1845,the sequel drops the adult aspects of the story in favor of talking reindeer and a life-size,1
1846,plastic santa replacement ( also played by allen ) that is strongly reminiscent of that creepy family from the duracell commercials .,1
1847,an unremarkable,1
1848,modern action/comedy buddy movie whose only nod to nostalgia is in the title .,1
1849,a romantic comedy enriched by a sharp eye for manners and mores .,1
1850,what emerges is not only an underdog v . simon bar sinister saga but a fascinating character study .,1
1851,mehta expertly fashions a fascinating hybrid that is sure to delight audiences with its good-natured and well-timed humor,1
1852,and its unabashed refusal to take itself seriously .,1
1853,adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary .,1
1854,the best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites .,1
1855,add yet another hat to a talented head,1
1856,clooney's a good director .,1
1857,the crime matters less than the characters,1
1858,although the filmmakers supply enough complications,1
1859,close calls and double-crosses to satisfy us .,1
1860,swimming isn't a major film . nor does it try to be . but what,1
1861,in the end,1
1862,is a major film ? if it's one that accomplishes what it sets out to do,1
1863,then we ought to correct ourselves .,1
1864,obstacles are too easily overcome and there isn't much in the way of character development in the script .,1
1865,on the right track to something that's creepy and effective . . . it's just going to take more than a man in a bullwinkle costume to get there .,1
1866,embarrassed myself about laughing out loud multiple times,1
1867,i found myself enjoying the movie much more than i ever enjoyed the tv show . . . and these pseudo-homo-erotic stunts .,1
1868,aimed squarely at the least demanding of demographic groups : very small children who will be delighted simply to spend more time with familiar cartoon characters .,1
1869,part of the draw of dance is the impossibility to define its particular joy . tavernier's film conveys a large element of its appeal -- and more .,1
1870, . . . manages to deliver a fair bit of vampire fun .,1
1871,despite its faults,1
1872,this is a fascinating look at a subculture .,1
1873,less worrying about covering all the drama in frida's life and more time spent exploring her process of turning pain into art would have made this a superior movie .,1
1874,ultimately,1
1875,it ponders the reasons we need stories so much .,1
1876,the irony is that this film's cast is uniformly superb ,1
1877,their performances could have -- should have -- been allowed to stand on their own .,1
1878,an inexperienced director,1
1879,mehta has much to learn .,1
1880,sounding like arnold schwarzenegger,1
1881,with a physique to match,1
1882,[ahola] has a wooden delivery and encounters a substantial arc of change that doesn't produce any real transformation .,1
1883,mib ii is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything . that's because relatively nothing happens .,1
1884,shadyac,1
1885,who belongs with the damned for perpetrating patch adams,1
1886,trots out every ghost trick from the sixth sense to the mothman prophecies .,1
1887,huppert's superbly controlled display of murderous vulnerability ensures that malice has a very human face .,1
1888,makes an aborbing if arguable case for the man's greatness .,1
1889,as an entertainment,1
1890,the movie keeps you diverted and best of all,1
1891,it lightens your wallet without leaving a sting .,1
1892,most of the information has already appeared in one forum or another and,1
1893,no matter how broomfield dresses it up,1
1894,it tends to speculation,1
1895,conspiracy theories or,1
1896,at best,1
1897,circumstantial evidence .,1
1898,so muddled,1
1899,repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker's characteristic style .,1
1900,any film that doesn't even in passing mention political prisoners,1
1901,poverty and the boat loads of people who try to escape the country is less a documentary and more propaganda by way of a valentine sealed with a kiss .,1
1902,a tender,1
1903,witty,1
1904,captivating film about friendship,1
1905,love,1
1906,memory,1
1907,trust and loyalty .,1
1908,professionally speaking,1
1909,it's tempting to jump ship in january to avoid ridiculous schlock like this shoddy suspense thriller .,1
1910,a pointed,1
1911,often tender,1
1912,examination of the pros and cons of unconditional love and familial duties .,1
1913,ben affleck as jack ryan,1
1914,tom clancy's intrepid hero ? ridiculous . what's next ? d . j . qualls as indiana jones ? or tom green as han solo ?,1
1915,i basically went in expecting garbage,1
1916,but color me surprised when it actually turned out to be quite funny !,1
1917,the film tunes into a grief that could lead a man across centuries .,1
1918,turning a great movie into a pretty good one is still a step in the wrong direction . . . and the ring will never be more than a pretty good movie .,1
1919,formula 51 is pretty much quentin tarantino meets guy ritchie,1
1920,as directed by ronny yu . however,1
1921,if you like that sort of thing,1
1922,as i do,1
1923,you just might have some fun with the chemical imbalance of formula 51 .,1
1924,at once emotional and richly analytical,1
1925,the cosby-seinfeld encounter alone confirms the serious weight behind this superficially loose,1
1926,larky documentary .,1
1927,the sweetest thing is expressly for idiots who don't care what kind of sewage they shovel into their mental gullets to simulate sustenance .,1
1928,i'm not sure which will take longer to heal : the welt on johnny knoxville's stomach from a riot-control projectile or my own tortured psyche .,1
1929,the advantage of a postapocalyptic setting is that it can be made on the cheap . any rock pile will do for a set . reign of fire has the disadvantage of also looking cheap .,1
1930,an engaging documentary about people who live in unusual homes .,1
1931,kung pow is oedekerk's realization of his childhood dream to be in a martial-arts flick,1
1932,and proves that sometimes the dreams of youth should remain just that .,1
1933,a film without surprise geared toward maximum comfort and familiarity .,1
1934,sorvino makes the princess seem smug and cartoonish,1
1935,and the film only really comes alive when poor hermocrates and leontine pathetically compare notes about their budding amours .,1
1936,secretary is not a movie about fetishism . it is a movie about passion .,1
1937,it proves quite compelling as an intense,1
1938,brooding character study .,1
1939,outrageousness is all plympton seemed to be going for this time . we miss the quirky amazement that used to come along for an integral part of the ride .,1
1940,though an important political documentary,1
1941,this does not really make the case the kissinger should be tried as a war criminal .,1
1942,everyone should be able to appreciate the wonderful cinematography and naturalistic acting .,1
1943,those with a modicum of patience will find in these characters' foibles a timeless and unique perspective .,1
1944,swims in mediocrity,1
1945,sticking its head up for a breath of fresh air now and then .,1
1946,if you're part of her targeted audience,1
1947,you'll cheer . otherwise,1
1948,maybe .,1
1949,julia is played with exasperating blandness by laura regan .,1
1950,the problem with all of this : it's not really funny .,1
1951,not really a thriller so much as a movie for teens to laugh,1
1952,groan and hiss at .,1
1953,viewing this underdramatized but overstated film is like watching a transcript of a therapy session brought to humdrum life by some freudian puppet .,1
1954,as an actor's showcase,1
1955,hart's war has much to recommend it,1
1956,even if the top-billed willis is not the most impressive player . as a story of dramatic enlightenment,1
1957,the screenplay by billy ray and terry george leaves something to be desired .,1
1958,there's plenty to enjoy -- in no small part thanks to lau .,1
1959,charly comes off as emotionally manipulative and sadly imitative of innumerable past love story derisions .,1
1960,it's incredible the number of stories the holocaust has generated . just when you think that every possible angle has been exhausted by documentarians,1
1961,another new film emerges with yet another remarkable yet shockingly little-known perspective .,1
1962,for all its impressive craftsmanship,1
1963,and despite an overbearing series of third-act crescendos,1
1964,lily chou-chou never really builds up a head of emotional steam .,1
1965,unlike most anime,1
1966,whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes,1
1967,metropolis never seems hopelessly juvenile .,1
1968,this is cruel,1
1969,misanthropic stuff with only weak claims to surrealism and black comedy .,1
1970,trailer park magnolia : too long,1
1971,too cutesy,1
1972,too sure of its own importance,1
1973,and possessed of that peculiar tension of being too dense & about nothing at all .,1
1974,thoughtless,1
1975,random,1
1976,superficial humour and a lot of very bad scouse accents,1
1977,de oliveira seems not only to have read john berger's famous essay on looking,1
1978,but also to have taken it as his personal instruction manual for filmmaking .,1
1979,a great ensemble cast can't lift this heartfelt enterprise out of the familiar .,1
1980,what better message than 'love thyself' could young women of any size receive ?,1
1981,the exposition does pay off,1
1982,if you can stay awake that long . there's little gripping in the film until the second hour .,1
1983,lan yu seems altogether too slight to be called any kind of masterpiece . it is,1
1984,however,1
1985,a completely honest,1
1986,open-hearted film that should appeal to anyone willing to succumb to it .,1
1987,in his role of observer of the scene,1
1988,lawrence sounds whiny and defensive,1
1989,as if his life-altering experiences made him bitter and less mature .,1
1990,a psychologically rich and suspenseful moral thriller with a stellar performance by al pacino .,1
1991,philip k . dick must be turning in his grave,1
1992,along with my stomach .,1
1993,sillier,1
1994,cuter,1
1995,and shorter than the first ( as best i remember ),1
1996,but still a very good time at the cinema .,1
1997,hoffman spends a good deal of screen time alone and without much dialogue,1
1998,using only his considerable physical skill and screen presence to pull off the role .,1
1999,macbeth . mcdonald's . how far apart these poles of popular culture seemed until billy morrissette's sly mcshakespeare crime comedy .,1
2000,bielinsky's script is slick and fiendishly clever,1
2001,with seemingly a twist a minute .,1
2002,sadly,1
2003,'garth' hasn't progressed as nicely as 'wayne . ',1
2004,in the pianist,1
2005,polanski is saying what he has long wanted to say,1
2006,confronting the roots of his own preoccupations and obsessions,1
2007,and he allows nothing to get in the way .,1
2008,romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong . they cheapen the overall effect .,1
2009,comes off more like a misdemeanor,1
2010,a flat,1
2011,unconvincing drama that never catches fire .,1
2012,the april 2002 instalment of the american war for independence,1
2013,complete with loads of cgi and bushels of violence,1
2014,but not a drop of human blood .,1
2015,first,1
2016,for a movie that tries to be smart,1
2017,it's kinda dumb . and second,1
2018,what's with all the shooting ?,1
2019,drumline is a movie that treats its characters and audience with respect ,1
2020,it can't be accused of being a dumbed-down teen comedy .,1
2021,whenever it threatens to get bogged down in earnest dramaturgy,1
2022,a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us . if horses could fly,1
2023,this is surely what they'd look like .,1
2024,if you're willing to have fun with it,1
2025,you won't feel cheated by the high infidelity of unfaithful .,1
2026,not only a reminder of how they used to make movies,1
2027,but also how they sometimes still can be made .,1
2028,the main story . . . is compelling enough,1
2029,but it's difficult to shrug off the annoyance of that chatty fish .,1
2030,[a] wonderfully loopy tale of love,1
2031,longing,1
2032,and voting .,1
2033,cannon's confidence and laid-back good spirits are,1
2034,with the drumming routines,1
2035,among the film's saving graces .,1
2036,winds up being both revelatory and narcissistic,1
2037,achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines,1
2038,precious circumstances and beautiful stars .,1
2039,culkin turns his character into what is basically an anti-harry potter -- right down to the gryffindor scarf .,1
2040,it's not a film to be taken literally on any level,1
2041,but its focus always appears questionable .,1
2042,i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd .,1
2043,to my taste,1
2044,the film's comic characters come perilously close to being amoses and andys for a new generation .,1
2045,adam sandler is to gary cooper what a gnat is to a racehorse .,1
2046,transcends its agenda to deliver awe-inspiring,1
2047,at times sublime,1
2048,visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games .,1
2049,unambitious writing emerges in the movie,1
2050,using a plot that could have come from an animated-movie screenwriting textbook .,1
2051,beautifully shot against the frozen winter landscapes of grenoble and geneva,1
2052,the film unfolds with all the mounting tension of an expert thriller,1
2053,until the tragedy beneath it all gradually reveals itself .,1
2054,it just goes to show,1
2055,an intelligent person isn't necessarily an admirable storyteller .,1
2056,it's more enjoyable than i expected,1
2057,though,1
2058,and that's because the laughs come from fairly basic comedic constructs . cinematic pratfalls given a working over . the cast is spot on and the mood is laid back .,1
2059,the character of zigzag is not sufficiently developed to support a film constructed around him .,1
2060,the movie is virtually without context -- journalistic or historical . what's worse is that pelosi knows it .,1
2061,there's no denying the physically spectacular qualities of the film . . . or the emotional integrity of the performances .,1
2062,with youthful high spirits,1
2063,tautou remains captivating throughout michele's religious and romantic quests,1
2064,and she is backed by a likable cast .,1
2065,despite the surface attractions -- conrad l . hall's cinematography will likely be nominated for an oscar next year -- there's something impressive and yet lacking about everything .,1
2066,it's a drawling,1
2067,slobbering,1
2068,lovable run-on sentence of a film,1
2069,a southern gothic with the emotional arc of its raw blues soundtrack .,1
2070,alas,1
2071,the black-and-white archival footage of their act showcases pretty mediocre shtick .,1
2072,a movie that hovers somewhere between an acute character study and a trite power struggle .,1
2073,gangs,1
2074,despite the gravity of its subject matter,1
2075,is often as fun to watch as a good spaghetti western .,1
2076,in other words,1
2077,it's just another sports drama/character study . yet this one makes up for in heart what it lacks in outright newness . plus,1
2078,like i already mentioned . . . it's robert duvall ! c'mon !,1
2079,woo has as much right to make a huge action sequence as any director,1
2080,"but how long will filmmakers copy the "" saving private ryan "" battle scenes before realizing steven spielberg got it right the first time ?",1
2081,the script isn't very good ,1
2082,not even someone as gifted as hoffman ( the actor ) can make it work .,1
2083,in scope,1
2084,ambition and accomplishment,1
2085,children of the century . . . takes kurys' career to a whole new level .,1
2086, . . . too slow,1
2087,too boring,1
2088,and occasionally annoying .,1
2089,beautifully acted,1
2090,smart and funny . it steers clear of being a maudlin soap opera normally found on lifetime .,1
2091,in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ,1
2092,despite the title . . . amounts to surprisingly little .,1
2093,a bit of whimsically warped history elevated by the central performance of ian holm .,1
2094,it is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he's been making for the last several years .,1
2095,a terrific insider look at the star-making machinery of tinseltown .,1
2096,it's a celebration of self-confidence and a slap in the face of a society that cherises impossibly unnatural physical perfection .,1
2097,the sweetest thing,1
2098,a romantic comedy with outrageous tendencies,1
2099,may be a mess in a lot of ways . but it does have one saving grace . a lot of its gags and observations reflect a woman's point-of-view .,1
2100,instead of a hyperbolic beat-charged urban western,1
2101,it's an unpretentious,1
2102,sociologically pointed slice of life .,1
2103,an absurdist comedy about alienation,1
2104,separation and loss .,1
2105,a stunning and overwhelmingly cogent case for kissinger as a calculating war criminal .,1
2106,the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public,1
2107,to avoid being recognized as the man who bilked unsuspecting moviegoers .,1
2108,a film that begins with the everyday lives of naval personnel in san diego and ends with scenes so true and heartbreaking that tears welled up in my eyes both times i saw the film .,1
2109,malone does have a gift for generating nightmarish images that will be hard to burn out of your brain . but the movie's narrative hook is way too muddled to be an effectively chilling guilty pleasure .,1
2110,one regards reign of fire with awe . what a vast enterprise has been marshaled in the service of such a minute idea .,1
2111,a profoundly moving document . . . the filmmakers' refusal to downplay the situation's intractability makes the glimmer of hope the film offers that much more powerful .,1
2112,the pace and the visuals are so hyped up that a curious sense of menace informs everything .,1
2113,a sparkling cosmopolitan comedy that plays fast and loose with sacred cows of family values .,1
2114,there are a few laughs and clever sight gags scattered about,1
2115,but not enough to make this anything more than another big-budget bust .,1
2116,an energetic and engaging film that never pretends to be something it isn't .,1
2117,[city] reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of 'analyze this' ( 1999 ) and 'analyze that,1
2118,' promised ( or threatened ) for later this year .,1
2119,not quite as miraculous as its dreamworks makers would have you believe,1
2120,but it more than adequately fills the eyes and stirs the emotions .,1
2121,if the film fails to fulfill its own ambitious goals,1
2122,it nonetheless sustains interest during the long build-up of expository material .,1
2123,if high crimes were any more generic it would have a universal product code instead of a title .,1
2124,it is a testament of quiet endurance,1
2125,of common concern,1
2126,of reconciled survival .,1
2127,it's absolutely amazing how first-time director kevin donovan managed to find something new to add to the canon of chan . make chan's action sequences boring .,1
2128,it's a feel-good movie about which you can actually feel good .,1
2129,a tender and touching drama,1
2130,based on the true story of a troubled african-american's quest to come to terms with his origins,1
2131,reveals the yearning we all have in our hearts for acceptance within the family circle .,1
2132,i admired it,1
2133,particularly that unexpected downer of an ending .,1
2134,definitely not the knee-slapper that i was told it would be,1
2135,but enough hahas for me to grade as passable .,1
2136,oliveira seems to pursue silent film representation with every mournful composition .,1
2137,for the most part,1
2138,director anne-sophie birot's first feature is a sensitive,1
2139,extraordinarily well-acted drama .,1
2140,the longer the movie goes,1
2141,the worse it gets,1
2142,but it's actually pretty good in the first few minutes .,1
2143,it's fun,1
2144,wispy,1
2145,wise and surprisingly inoffensive for a film about a teen in love with his stepmom .,1
2146, . . . a vast adventure that bristles with romance,1
2147,action and heroism .,1
2148,it was only a matter of time before some savvy producer saw the potential success inherent in the mixture of bullock bubble and hugh goo .,1
2149,one of the year's most weirdly engaging and unpredictable character pieces .,1
2150,it's not a bad plot ,1
2151,but,1
2152,unfortunately,1
2153,the movie is nowhere near as refined as all the classic dramas it borrows from .,1
2154,the trials of henry kissinger is a remarkable piece of filmmaking Â… because you get it .,1
2155,an afterschool special without the courage of its convictions .,1
2156,a merciless thriller,1
2157,threateningly beautiful to look at and eerie to behold .,1
2158,certain to be distasteful to children and adults alike,1
2159,eight crazy nights is a total misfire .,1
2160,this gorgeous epic is guaranteed to lift the spirits of the whole family .,1
2161,presents a most persuasive vision of hell on earth .,1
2162,no worse than a lot of the crap we've been offered this summer,1
